GID,DDP,DDP_year,DHS,DHS_year,MAT,DIAMETRE,STATUT_OBJET,LNG,age
410526436,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,12.427,22259
410526437,2004-01-01T00:00:00.000Z,2004,,,FT,100,EN SERVICE,72.421,8015
410526438,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,48.884,22259
410526439,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,40.275,22259
410526440,2010-01-01T00:00:00.000Z,2010,,,FT,150,EN SERVICE,66.098,5823
410526441,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,112.668,22259
410526442,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,3.988,22259
410526443,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,4.562,22259
410526444,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,4.519,22259
410526445,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,24.433,22259
410526446,1965-01-01T00:00:00.000Z,1965,,,FTG,200,EN SERVICE,4.172,22259
410526447,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,36.635,22259
410526448,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,190.646,22259
410526449,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,4.918,22259
410526450,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,3.983,22259
410526451,1965-01-01T00:00:00.000Z,1965,,,PEHD,51,EN SERVICE,122.786,22259
410526452,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,85.707,22259
410526738,2000-01-01T00:00:00.000Z,2000,,,FT,100,EN SERVICE,8.967,9476
410526739,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,2.203,6919
410526740,1965-01-01T00:00:00.000Z,1965,,,PEHD,51,EN SERVICE,2.728,22259
410526741,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,3.058,6188
410526742,1965-01-01T00:00:00.000Z,1965,,,FTG,60,EN SERVICE,18.88,22259
410526743,2004-01-01T00:00:00.000Z,2004,,,PEHD,63,EN SERVICE,2.658,8015
410526744,1995-01-01T00:00:00.000Z,1995,,,FT,100,EN SERVICE,4.877,11302
410526745,2001-01-01T00:00:00.000Z,2001,,,FT,200,EN SERVICE,3.91,9110
410526746,2001-01-01T00:00:00.000Z,2001,,,FT,100,EN SERVICE,3.779,9110
410526747,2001-01-01T00:00:00.000Z,2001,,,FT,200,EN SERVICE,10.443,9110
410526748,1991-01-01T00:00:00.000Z,1991,,,FT,200,EN SERVICE,251.342,12763
410526749,1995-01-01T00:00:00.000Z,1995,,,FT,100,EN SERVICE,80.164,11302
410526750,1995-01-01T00:00:00.000Z,1995,,,FT,100,EN SERVICE,4.064,11302
410526751,2001-01-01T00:00:00.000Z,2001,,,FT,200,EN SERVICE,53.638,9110
410526752,1995-01-01T00:00:00.000Z,1995,,,FT,100,EN SERVICE,56.289,11302
410526753,2001-01-01T00:00:00.000Z,2001,,,FT,200,EN SERVICE,9.438,9110
410526754,1995-01-01T00:00:00.000Z,1995,,,FT,100,EN SERVICE,15.465,11302
410526755,1995-01-01T00:00:00.000Z,1995,,,FT,100,EN SERVICE,56.594,11302
410526756,1995-01-01T00:00:00.000Z,1995,,,FT,100,EN SERVICE,38.826,11302
410527039,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,40.114,22259
410527040,1965-01-01T00:00:00.000Z,1965,,,PEHD,63,EN SERVICE,5.01,22259
410527041,2006-01-01T00:00:00.000Z,2006,,,FT,100,EN SERVICE,4.948,7284
410527042,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,4.173,22259
410527043,2006-01-01T00:00:00.000Z,2006,,,FT,200,EN SERVICE,23.725,7284
410527044,2006-01-01T00:00:00.000Z,2006,,,FT,100,EN SERVICE,2.581,7284
410527045,2006-01-01T00:00:00.000Z,2006,,,FT,100,EN SERVICE,2.697,7284
410527046,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,92.913,22259
410527047,2005-01-01T00:00:00.000Z,2005,,,FT,100,EN SERVICE,154.08,7649
410527048,2006-01-01T00:00:00.000Z,2006,,,FT,100,EN SERVICE,2.517,7284
410527049,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,10.868,22259
410527050,1965-01-01T00:00:00.000Z,1965,,,PEHD,51,EN SERVICE,3.014,22259
410527051,1965-01-01T00:00:00.000Z,1965,,,PEHD,51,EN SERVICE,24.498,22259
410527052,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,46.598,22259
410527053,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,18.072,22259
410527054,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,3.494,22259
410527055,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,5.383,22259
410527056,1965-01-01T00:00:00.000Z,1965,,,PEHD,63,EN SERVICE,4.599,22259
410527057,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,31.085,22259
410527372,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,453.303,22259
410527373,1965-01-01T00:00:00.000Z,1965,,,FTG,125,EN SERVICE,174.858,22259
410527374,2000-01-01T00:00:00.000Z,2000,,,FT,150,EN SERVICE,0.852,9476
410527375,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,15.81,22259
410527376,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,99.931,22259
410527377,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,2.325,22259
410527378,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,52.813,22259
410527379,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,104.593,6188
410527380,1965-01-01T00:00:00.000Z,1965,,,FTG,150,EN SERVICE,84.744,22259
410527381,2010-01-01T00:00:00.000Z,2010,,,FT,150,EN SERVICE,11.594,5823
410527382,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,23.61,6919
410527383,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,3.374,6919
410527384,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,2.762,6919
410527385,2007-01-01T00:00:00.000Z,2007,,,FT,100,EN SERVICE,28.554,6919
410527386,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,97.456,6188
410527387,2009-01-01T00:00:00.000Z,2009,,,FT,100,EN SERVICE,3.637,6188
410527388,1965-01-01T00:00:00.000Z,1965,,,FTG,250,EN SERVICE,13.933,22259
410527389,2000-01-01T00:00:00.000Z,2000,,,FT,150,EN SERVICE,69.411,9476
410527390,1965-01-01T00:00:00.000Z,1965,,,FTG,125,EN SERVICE,61.37,22259
410526453,1965-01-01T00:00:00.000Z,1965,,,FTG,100,EN SERVICE,138.993,22259
